Text	Sentences	Total_Words	Mean_Sentence_Lengths	SD_Sentence_Lengths
Lewis_Battle.txt	3199	43517	13.60331354	10.78390279
Lewis_Caspian.txt	3421	44907	13.12686349	11.14236609
Lewis_Chair.txt	3764	51400	13.65568544	10.64724114
Lewis_Horse.txt	3387	48265	14.25007381	11.39013349
Lewis_Magician.txt	3130	41218	13.1686901	10.38358176
Lewis_Voyage.txt	3569	52513	14.71364528	11.40059083
Lewis_Wardrobe.txt	2578	37358	14.49107836	12.77084218
Paolini_Brisingr.txt	16187	251278	15.52344474	11.60924146
Paolini_Eldest.txt	16198	213263	13.16600815	9.393921535
Paolini_Eragon.txt	14768	157011	10.63183911	6.136487976
Paolini_Inheritance.txt	18494	280298	15.15615875	10.74216942
Rowling_Azkaban.txt	10022	108265	10.80273399	8.639592071
Rowling_Chamber.txt	7473	85976	11.50488425	9.144393033
Rowling_Goblet.txt	16106	192572	11.95653794	9.804444869
Rowling_Halfblood.txt	13722	170973	12.45977263	10.29406664
Rowling_Hallows.txt	14600	197845	13.5510274	11.41984693
Rowling_Order.txt	20234	259184	12.80933083	10.74032306
Rowling_Sorcerer.txt	7075	78100	11.03886926	9.271440784
Tolkien_Fellowship.txt	13339	185597	13.91386161	10.24808489
Tolkien_Hobbit.txt	5826	94890	16.28733265	12.92721789
Tolkien_King.txt	9096	135280	14.87247142	12.25957151
Tolkien_Tower.txt	12362	154031	12.46003883	9.990970599
				
Lewis	3292.571429	45596.85714	13.85847857	11.21695118
Paolini	16411.75	225462.5	13.61936269	9.4704551
Rowling	12747.42857	156130.7143	12.01759375	9.902015342
Tolkien	10155.75	142449.5	14.38342613	11.35646122
