"Lewis_Battle" "Lewis_Caspian" "Lewis_Chair_1" "Lewis_Chair_2" "Lewis_Horse" "Lewis_Magician" "Lewis_Voyage" "Lewis_Wardrobe" "Paolini_Brisingr_1" "Paolini_Brisingr_2" "Paolini_Eldest_1" "Paolini_Eldest_2" "Paolini_Eragon_1" "Paolini_Eragon_2" "Paolini_Inheritance_1" "Paolini_Inheritance_2" "Rowling_Azkaban" "Rowling_Chamber" "Rowling_Goblet" "Rowling_Halfblood" "Rowling_Hallows" "Rowling_Order_1" "Rowling_Order_2" "Rowling_Sorcerer" "Tolkien_Fellowship_1" "Tolkien_Fellowship_2" "Tolkien_Hobbit_1" "Tolkien_Hobbit_2" "Tolkien_King_1" "Tolkien_King_2" "Tolkien_Tower_1" "Tolkien_Tower_2"
"the" 5.8 5.53 5.15 5.16 5.28 5.32 5.89 6.04 4.97 5.24 5.56 4.81 4.67 4.84 7.92 5.68 4.85 4.88 5.08 4.15 3.79 4.35 4.26 4.27 5.49 7.26 6.81 6.09 6.06 5.87 5.75 5.49
"and" 3.45 4.26 3.67 3.38 4.16 3.24 3.68 4.55 2.99 3.31 3.29 2.54 2.44 2.1 3.39 3.13 2.17 2.32 2.68 2.53 2.36 2.17 2.22 2.31 3.58 4.79 4.93 4.54 4.5 5.36 4.03 3.66
"to" 2.39 2.16 2.07 1.91 2.59 1.97 2.26 2.3 2.89 2.59 2.42 2.89 2.51 2.6 2.54 3.17 2.51 2.58 2.31 2.61 2.88 2.45 3.07 1.77 2.44 1.97 2.07 2.38 2.14 2.01 2.31 2.22
"of" 2.23 1.97 2.11 2.18 2.27 2.03 2.22 2.28 3.24 3.26 2.03 2.52 1.65 1.86 3.08 2.49 1.78 1.54 1.84 2.08 1.79 1.99 2.04 1.68 2.07 2.49 2.65 2.55 2.7 2.78 2.26 2.32
"a" 1.7 2.01 2.49 2.49 2.37 2.7 2.22 2.31 2.02 1.81 2.09 1.82 2.11 1.73 2.04 1.82 1.55 1.79 1.71 2.02 1.67 1.92 1.48 2.55 2.22 2.45 2.22 1.8 1.66 2.14 2.08 1.89
"he" 1.36 1 1 0.73 1.41 1.46 0.58 1.57 1.46 1.51 1.49 1.75 2.09 1.55 1.73 1.99 1.54 1.87 2.67 1.8 1.62 1.76 2.32 2.45 1.27 1.45 1.64 1.97 1.67 2.57 1.39 2.22
"you" 1.29 1.16 1.18 1.45 1.21 1.61 1.22 1.09 1.95 1.37 1.27 1.99 2.36 2.05 0.35 1.5 1.25 0.95 0.97 1.75 1.38 1.55 2.76 0.88 1.98 0.52 1.08 1.17 1.27 0.67 0.88 0.62
"it" 1.33 1.8 1.48 1.67 1.13 1.9 1.81 1.6 1.16 0.79 1.08 0.98 1.6 1.43 1.1 1.12 1.4 1.22 1.14 1.25 1.78 0.9 1.35 1.17 1.54 1.2 0.99 1.55 0.96 1.3 1.14 1.75
"was" 1.57 1.47 1.34 1.25 1.2 1.56 1.56 1.6 0.81 0.69 0.87 0.57 0.9 0.85 1.13 1.24 1.57 1.48 1.47 1.37 1.12 1.6 1.65 1.51 1.44 1.38 1.15 1.52 0.89 1.2 1.01 1.26
"i" 0.84 1.03 1.11 1.66 1.96 1.39 1.1 0.68 1.74 1.13 0.86 1.26 1.89 1.55 0.31 1.22 0.97 1.12 0.99 2.04 1.7 1.11 2.19 1.02 1.86 0.51 0.91 0.86 1.87 0.72 1.4 0.74
"in" 1.38 1.49 1.23 1.13 1.37 1.13 1.22 1.1 1.06 1.07 1.02 1.15 1.01 1.07 1.04 0.79 1.21 1.15 1.25 1 1.1 1.13 1.16 1.18 1.42 1.4 1.58 1.48 1.54 1.25 1.29 1.35
"that" 1.25 1.31 1.55 1.49 1.28 1.29 1.38 1.31 1.09 1 1.14 1.37 1.23 1.12 0.86 0.89 0.83 1.04 0.81 1.23 1.21 1.17 1.75 0.83 1.14 1.05 0.93 1.22 1.33 0.97 1.57 1.29
"his" 0.84 0.62 0.59 0.49 0.78 0.63 0.29 0.61 1.26 1.24 1.49 1.43 1.37 1.1 1.54 1.17 1.25 1.38 1.51 1.17 1.07 1.19 1.08 1.34 0.54 0.7 0.75 0.78 0.8 1.86 1.03 1.06
